Match Date,Home Team,Home Team Score,Away Team,Away Team Score
31/01/20,Blues,29,Chiefs,37
31/01/20,Brumbies,27,Reds,24
31/01/20,Sharks,23,Bulls,15
1/02/20,Sunwolves,36,Rebels,27
1/02/20,Crusaders,43,Waratahs,25
1/02/20,Stormers,27,Hurricanes,0
1/02/20,Jaguares,38,Lions,8
07/02/20,Highlanders,20,Sharks,42
07/02/20,Brumbies,39,Rebels,26
08/02/20,Chiefs,25,Crusaders,15
08/02/20,Waratahs,12,Blues,32
08/02/20,Lions,27,Reds,20
08/02/20,Stormers,13,Bulls,0
08/02/20,Jaguares,23,Hurricanes,26
14/02/20,Blues,8,Crusaders,25
14/02/20,Rebels,24,Waratahs,10
15/02/20,Sunwolves,17,Chiefs,43
15/02/20,Hurricanes,38,Sharks,22
15/02/20,Brumbies,22,Highlanders,23
15/02/20,Lions,30,Stormers,33
15/02/20,Jaguares,43,Reds,27
21/02/20,Crusaders,33,Highlanders,13
22/02/20,Rebels,24,Sharks,36
22/02/20,Chiefs,14,Brumbies,26
22/02/20,Reds,64,Sunwolves,5
22/02/20,Stormers,17,Jaguares,7
22/02/20,Bulls,21,Blues,23
28/02/20,Highlanders,22,Rebels,28
28/02/20,Waratahs,29,Lions,17
29/02/20,Hurricanes,62,Sunwolves,15
29/02/20,Reds,23,Sharks,33
29/02/20,Stormers,14,Blues,33
29/02/20,Bulls,24,Jaguares,39
06/03/20,Sunwolves,14,Brumbies,47
06/03/20,Crusaders,24,Reds,20
06/03/20,Waratahs,14,Chiefs,51
07/03/20,Hurricanes,15,Blues,24
07/03/20,Rebels,37,Lions,17
07/03/20,Sharks,33,Jaguares,19
07/03/20,Bulls,38,Highlanders,13
13/03/20,Chiefs,24,Hurricanes,27
14/03/20,Blues,43,Lions,10
14/03/20,Sunwolves,14,Crusaders,49
14/03/20,Reds,41,Bulls,17
14/03/20,Sharks,24,Stormers,14
14/03/20,Jaguares,0,Highlanders,0
15/03/20,Brumbies,47,Waratahs,14
17/02/18,Stormers ,28,Jaguares,20
17/02/18,Lions,26,Sharks,19
23/02/18,Highlanders,Bulls,Blues, 34
23/02/18,Rebels, 41,Reds, 19
24/02/18,Sunwolves, 45,Brumbies,32
24/02/18,Crusaders,25,Chiefs, 23
24/02/18,Waratahs, 45,Stormers,27
24/02/18,Lions, 34,"
", 27
24/02/18,Bulls, 47,Jaguares, 19
02/03/18,Blues, 21,Hurricanes,27
02/03/18,Reds, 21,Chiefs, 10
03/03/18,Crusaders, 18,Brumbies, 28
03/03/18,Sunwolves, 45,Stormers, 37
03/03/18,Sharks, 17,"
", 24
03/03/18,Bulls, 24,Rebels, 49
03/03/18,Jaguares, 35,Waratahs,34
09/03/18,Highlanders,9,Lions,15
09/03/18,Rebels,"
",Hurricanes, 10
10/03/18,Hurricanes,33,Stormers,19
10/03/18,Reds,"
","
",14
10/03/18,Sharks,"
",Brumbies, 22
10/03/18,Lions, 33,Crusaders, 38
10/03/18, Jaguares,"
",Bulls, 28
16/03/18,Chiefs,"
",Sunwolves,28
17/03/18,Highlanders, 29,Blues, 17
17/03/18,Brumbies,"
",Waratahs, 17
17/03/18,Stormers,"
",Bulls, 20
17/03/18,"
", 20,Crusaders, 38
17/03/18,Lions,"
",Sharks, 18
18/03/18,Jaguares,"
",Blues,27
23/03/18,Waratahs, 50,Sunwolves,14
24/03/18,Crusaders,"
",Reds,14
24/03/18,Rebels,"
",Rebels, 61
24/03/18,Sunwolves, 35,Bulls,12
24/03/18,Hurricanes,"
",Sharks, 19
30/03/18,Stormers,41,Chiefs, 35
31/03/18,"
", 25,Highlanders,22
31/03/18, Jaguares, 24,Reds, 50
31/03/18,Chiefs, 37,Lions, 63
01/04/18,Rebels,40,Highlanders, 24
07/04/18,Blues, 7,Hurricanes, 23
08/04/18,Brumbies,"
",Sharks, 14
08/04/18,Bulls, 33,Waratahs, 37
08/04/18,Lions,"
",Stormers, 50
08/04/18,Hurricanes,"
","
", 19
13/04/18,Sunwolves, 46,Crusaders, 21
14/04/18,Chiefs,"
",Sharks,31
14/04/18,Brumbies,"
",Waratahs, 40
14/04/18,Lions, 10,Blues, 13
14/04/18,Jaguares,"
",Reds, 24
20/04/18,Hurricanes,"
",Stormers, 25
21/04/18,Sunwolves, 29,"
", 17
21/04/18,Rebels,"
",Crusaders, 16
21/04/18,Highlanders,"
",Chiefs, 40
21/04/18,Waratahs, 25,Blues,34
22/04/18,Sharks,"
",Jaguares, 29
27/04/18,Blues,"
",Brumbies, 11
